L_Scene,Points_L,R_Scene,Points_R,PtTotal
9480.jpg,0 Points,9250.jpg,0 Points,60 Points
9910.jpg,2 Points,6940.jpg,2 Points,62 Points
4535.jpg,1 Point,1811.jpg,1 Point,63 Points
2020.jpg,5 Points,1947.jpg,5 Points,68 Points
9160.jpg,4 Points,1200.jpg,4 Points,72 Points
9520.jpg,3 Points,1931.jpg,3 Points,75 Points
7830.jpg,3 Points,2499.jpg,3 Points,78 Points
6830.jpg,4 Points,6212.jpg,4 Points,82 Points
7285.jpg,5 Points,4233.jpg,5 Points,87 Points
1740.jpg,0 Points,7480.jpg,0 Points,87 Points
7380.jpg,1 Point,1220.jpg,1 Point,88 Points
3061.jpg,4 Points,2717.jpg,4 Points,92 Points
5460.jpg,0 Points,5800.jpg,0 Points,92 Points
2215.jpg,1 Point,2512.jpg,1 Point,93 Points
3000.jpg,5 Points,6200.jpg,5 Points,98 Points
1945.jpg,4 Points,2800.jpg,4 Points,102 Points
5660.jpg,0 Points,5201.jpg,0 Points,102 Points
3266.jpg,1 Point,7360.jpg,1 Point,103 Points
F149.jpg,0 Points,3030.jpg,0 Points,103 Points
5410.jpg,5 Points,1450.jpg,5 Points,108 Points
9101.jpg,2 Points,9571.jpg,2 Points,110 Points
9110.jpg,1 Point,3051.jpg,1 Point,111 Points
2100.jpg,5 Points,7205.jpg,5 Points,116 Points
3160.jpg,1 Point,6210.jpg,1 Point,117 Points
