L_Scene,Points_L,R_Scene,Points_R,PtTotal
1113.jpg,3 Points,1240.jpg,3 Points,72 points
8220.jpg,4 Points,2410.jpg,4 Points,76 points
4621.jpg,2 Points,3550.jpg,2 Points,78 points
2751.jpg,3 Points,6313.jpg,3 Points,81 points
4689.jpg,5 Points,7009.jpg,5 Points,86 points
6831.jpg,5 Points,2141.jpg,5 Points,91 points
9417.jpg,1 Point,6530.jpg,1 Point,92 points
7237.jpg,4 Points,8510.jpg,4 Points,96 points
4608.jpg,1 Point,8320.jpg,1 Point,97 points
9254.jpg,2 Points,9290.jpg,2 Points,99 points
9530.jpg,1 Point,9220.jpg,1 Point,100 points
2092.jpg,0 Points,2210.jpg,0 Points,100 points
9500.jpg,1 Point,6360.jpg,1 Point,101 points
2220.jpg,5 Points,2010.jpg,5 Points,106 points
5940.jpg,0 Points,9411.jpg,0 Points,106 points
4533.jpg,3 Points,2385.jpg,3 Points,109 points
9340.jpg,0 Points,6910.jpg,0 Points,109 points
8350.jpg,5 Points,7190.jpg,5 Points,114 points
6211.jpg,3 Points,9611.jpg,3 Points,117 points 
2053.jpg,4 Points,9415.jpg,4 Points,121 points
2110.jpg,5 Points,7260.jpg,5 Points,126 points
2030.jpg,0 Points,2495.jpg,0 Points,126 points
1302.jpg,3 Points,2700.jpg,3 Points,129 points
9010.jpg,0 Points,9253.jpg,0 Points,129 points
