L_Scene,R_Scene,Points_L,Points_R,PtTotal
A060.jpg,F041.jpg,5 Points,5 Points,5 Points
O161.jpg,1812.jpg,2 Points,2 Points,7 Points
O013.jpg,A001.jpg,3 Points,3 Points,10 Points
P036.jpg,F273.jpg,5 Points,5 Points,15 Points
L130.jpg,2393.jpg,0 Points,0 Points,15 Points
F279.jpg,P033.jpg,3 Points,3 Points,18 Points
A104.jpg,2593.jpg,2 Points,2 Points,20 Points
2598.jpg,2605.jpg,0 Points,0 Points,20 Points
L005.jpg,O011.jpg,1 Points,1 Points,21 Points
8186.jpg,F078.jpg,2 Points,2 Points,23 Points
